关卡id,坐标,地形,地貌,资源,自然奇观,河流边,初始区域,初始建筑
L-03,"1,2",TERRAIN_OCEAN,无,无,无,无,无,无
L-03,"2,-3",TERRAIN_OCEAN,无,无,无,无,无,无
L-03,"2,-2",TERRAIN_GRASS,无,无,无,无,无,无
L-03,"2,-1",TERRAIN_GRASS,无,无,无,无,无,无
L-03,"2,0",TERRAIN_GRASS,无,无,无,无,无,无
L-03,"2,1",TERRAIN_OCEAN,无,无,无,无,无,无
L-03,"3,-3",TERRAIN_OCEAN,无,无,无,无,无,无
L-03,"3,-2",TERRAIN_OCEAN,无,无,无,无,无,无
L-03,"3,-1",TERRAIN_OCEAN,无,无,无,无,无,无
L-03,"3,0",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"-3,0",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"-3,1",TERRAIN_GRASS_MOUNTAIN,无,无,无,无,无,无
L-05,"-3,2",TERRAIN_GRASS,无,无,无,无,无,无
L-05,"-3,3",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"-2,-1",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"-2,0",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"-2,1",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"-2,2",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"-2,3",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"-1,-2",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"-1,-1",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"-1,0",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"-1,1",TERRAIN_GRASS,无,无,无,无,无,无
L-05,"-1,2",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"-1,3",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"0,-3",TERRAIN_GRASS_MOUNTAIN,无,无,无,无,无,无
L-05,"0,-2",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"0,-1",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"0,0",TERRAIN_GRASS,无,无,无,无,DISTRICT_CITY_CENTER,无
L-05,"0,1",TERRAIN_GRASS,无,无,无,无,无,无
L-05,"0,2",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"0,3",TERRAIN_GRASS_MOUNTAIN,无,无,无,无,无,无
L-05,"1,-3",TERRAIN_GRASS,无,无,无,无,无,无
L-05,"1,-2",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"1,-1",TERRAIN_GRASS,无,无,无,无,无,无
L-05,"1,0",TERRAIN_GRASS,无,无,无,无,无,无
L-05,"1,1",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"1,2",TERRAIN_GRASS,无,无,无,无,无,无
L-05,"2,-3",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"2,-2",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"2,-1",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"2,0",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"2,1",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"3,-3",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"3,-2",TERRAIN_OCEAN,无,无,无,无,无,无
L-05,"3,-1",TERRAIN_GRASS_MOUNTAIN,无,无,无,无,无,无
L-05,"3,0",TERRAIN_GRASS,无,无,无,无,无,无
